domain_group,variable,ahp_weight,consistency_ratio
Demand-Chronic,census_total_population,0.16954068060251096,0.011726297044208644
Demand-Chronic,sex_ratio,0.01903809991390204,0.011726297044208644
Demand-Chronic,nfhs5_high_blood_sugar_pct,0.22570265907325085,0.011726297044208644
Demand-Chronic,nfhs5_elevated_bp_pct,0.22570265907325085,0.011726297044208644
Demand-Chronic,nfhs5_women_overweight_pct,0.12189966463179515,0.011726297044208644
Demand-Chronic,nfhs5_women_tobacco_pct,0.06664558049467766,0.011726297044208644
Demand-Chronic,nfhs5_men_tobacco_pct,0.08503489611691425,0.011726297044208644
Demand-Chronic,nfhs5_women_alcohol_pct,0.03603555407076829,0.011726297044208644
Demand-Chronic,nfhs5_men_alcohol_pct,0.05040020602292987,0.011726297044208644
Demand-Acute,census_total_population,0.1675987706142789,0.01103926280406798
Demand-Acute,sex_ratio,0.032088473748168,0.01103926280406798
Demand-Acute,nfhs5_child_diarrhoea_pct,0.28207129432374367,0.01103926280406798
Demand-Acute,nfhs5_child_ari_pct,0.28207129432374367,0.01103926280406798
Demand-Acute,nfhs5_child_underweight_pct,0.23617016699006568,0.01103926280406798
Realizability-Chronic,nightlight_log_mean,0.44342911417503916,0.01577129938761093
Realizability-Chronic,nightlight_growth_rate,0.38737101163863585,0.01577129938761093
Realizability-Chronic,literacy_rate,0.1691998741863249,0.01577129938761093
Realizability-Acute,latrine_access_rate,0.17500557658811242,0.02246186205709077
Realizability-Acute,tap_water_rate,0.2893641256220825,0.02246186205709077
Realizability-Acute,nfhs5_improved_sanitation_pct,0.24626617216772262,0.02246186205709077
Realizability-Acute,nfhs5_improved_water_pct,0.28936412562208247,0.02246186205709077
