lgd_state_code,lgd_district_code,district_name,state_name,Demand_Chronic,Demand_Acute,Realizability_Chronic,Realizability_Acute,Demand_Overall,Realizability_Overall,MAI_Overall,MAI_Chronic,MAI_Acute,quadrant_overall,quadrant_chronic,quadrant_acute,confidence_score
36,501,Adilabad,Telangana,0.3327679944080548,0.555855063058436,0.3019452617958774,0.403028869065243,0.4443115287332454,0.3524870654305602,0.39574495183153974,0.31698220642305647,0.47331346635039956,Deprioritize,Deprioritize,Emerging,1.0
23,667,Agar-Malwa,Madhya Pradesh,0.2880810699230687,0.5053173701009281,0.2866810223555164,0.3295992199224832,0.3966992200119984,0.3081401211389998,0.3496268664022316,0.2873801935534464,0.4081080873966438,Deprioritize,Deprioritize,Star,0.368421052631579
9,118,Agra,Uttar Pradesh,0.3576899670495409,0.5376996402578511,0.323155510646047,0.3811916030093193,0.447694803653696,0.35217355682768314,0.39707212364505434,0.3399845348760177,0.45273235780914156,Deprioritize,Emerging,Deprioritize,0.368421052631579
24,438,Ahmedabad,Gujarat,0.5152709310924622,0.5070364642225642,0.5935123617759723,0.7680269198570027,0.5111536976575133,0.6807696408164875,0.5898965325854397,0.5530096448229376,0.6240333756074601,Star,Star,Star,1.0
27,466,Ahmednagar,Maharashtra,0.3947052684630182,0.567515485990266,0.4483642957199242,0.5365915449003776,0.48111037722664207,0.4924779203101509,0.48676096599481855,0.4206801037740729,0.5518369427488572,Star,Star,Star,1.0
15,261,Aizawl,Mizoram,0.4869782775075983,0.2412441630134125,0.3147399418606483,0.796818586104731,0.3641112202605054,0.5557792639826896,0.44985049294651513,0.39149906098245,0.4384379464398201,Star,Star,Star,1.0
8,86,Ajmer,Rajasthan,0.3547145321566716,0.4906970740970707,0.3435594651888784,0.6075070504747679,0.4227058031268711,0.4755332578318232,0.44834213237809617,0.34909244472269707,0.5459871172118533,Star,Star,Star,0.368421052631579
27,467,Akola,Maharashtra,0.2632195567834332,0.5647540244145081,0.426544511315604,0.551500132525834,0.4139867905989706,0.489022321920719,0.4499430870490346,0.3350744054936148,0.5580877344191496,Underserved,Underserved,Star,1.0
32,554,Alappuzha,Kerala,0.6576171707817463,0.4020185079423681,0.598725991086813,0.6957832498338568,0.5298178393620572,0.6472546204603349,0.5855997306432125,0.6274810693017018,0.5288834880666052,Star,Star,Star,1.0
9,119,Aligarh,Uttar Pradesh,0.3562882324165063,0.5402858349096049,0.4060806917986958,0.4925288686468795,0.4482870336630556,0.44930478022278764,0.44879561844641996,0.3803705718104772,0.5158549902966554,Underserved,Star,Underserved,0.368421052631579
19,664,Alipurduar,West Bengal,0.4735707755015637,0.6194001887184407,0.3473228995666849,0.4237174233561606,0.5464854821100023,0.38552016146142276,0.4590001866005846,0.40556377414316314,0.5122993773079344,Emerging,Deprioritize,Emerging,0.368421052631579
23,639,Alirajpur,Madhya Pradesh,0.2905455623603339,0.4945527826175231,0.1972463513478079,0.2546663219297684,0.3925491724889285,0.22595633663878817,0.297823728010691,0.2393930911197582,0.35488862781066527,Deprioritize,Deprioritize,Deprioritize,0.368421052631579
28,745,Alluri Sitharama Raju,Andhra Pradesh,0.5141388466324868,0.4012011021938781,0.3207991984758159,0.6549640180540212,0.45766997441318247,0.48788160826491855,0.47253440421970083,0.4061223090461569,0.5126131932954948,Underserved,Deprioritize,Underserved,0.368421052631579
5,45,Almora,Uttarakhand,0.3193421291841133,0.4224608208224461,0.2609044025863143,0.6417905430224307,0.37090147500327975,0.4513474728043725,0.4091521030156688,0.28864817240963553,0.5207027555154087,Deprioritize,Underserved,Underserved,0.368421052631579
8,87,Alwar,Rajasthan,0.3373783190157796,0.508868314367646,0.2676020471743631,0.4651947434548923,0.42312331669171277,0.3663983953146277,0.3937406560872862,0.3004715108639552,0.4865417401976737,Star,Star,Star,0.368421052631579
6,58,Ambala,Haryana,0.3301587390864254,0.4803329089067191,0.5106897226043468,0.8872415602626851,0.4052458239965723,0.6989656414335159,0.5322150949644493,0.4106198666399953,0.6528179834715888,Star,Underserved,Star,0.368421052631579
9,121,Ambedkar Nagar,Uttar Pradesh,0.310185674984367,0.571286856567431,0.4407578697936901,0.3860154845751055,0.44073626577589897,0.4133866771843978,0.4268424772954989,0.3697523189198785,0.46960150422381064,Underserved,Underserved,Emerging,0.368421052631579
9,640,Amethi,Uttar Pradesh,0.3866752010073341,0.4472648730381729,0.4059822499633644,0.4390838309950126,0.4169700370227535,0.4225330404791885,0.41974232277904,0.3962111408201361,0.4431554737596038,Underserved,Star,Underserved,0.0
27,468,Amravati,Maharashtra,0.3040196864671894,0.5875181395726619,0.3914669248150397,0.6455954245131833,0.4457689130199256,0.5185311746641115,0.48077549656462953,0.34498355286092,0.6158725702015055,Underserved,Underserved,Star,1.0
24,439,Amreli,Gujarat,0.3471964722114005,0.3501987853169261,0.2965199245236998,0.5132856284292826,0.3486976287641633,0.4049027764764912,0.375750765850688,0.3208592709195408,0.4239717014100939,Deprioritize,Deprioritize,Deprioritize,1.0
3,27,Amritsar,Punjab,0.4298848435886599,0.4362888272157143,0.4410073619472494,0.7719224705850786,0.4330868354021871,0.606464916266164,0.5124958257080396,0.4354105887689697,0.5803284840441839,Star,Underserved,Star,0.368421052631579
9,154,Amroha,Uttar Pradesh,0.333178830374818,0.4868662426841327,0.4091623188049186,0.5607589637335089,0.41002253652947535,0.48496064126921373,0.44592016353845676,0.36922110288128324,0.522507999675011,Underserved,Underserved,Underserved,0.368421052631579
28,744,Anakapalli,Andhra Pradesh,0.5141388466324868,0.4012011021938781,0.3207991984758159,0.6549640180540212,0.45766997441318247,0.48788160826491855,0.47253440421970083,0.4061223090461569,0.5126131932954948,Underserved,Deprioritize,Underserved,0.368421052631579
24,440,Anand,Gujarat,0.4259418104443804,0.451027609480672,0.4803614959083296,0.6040711087876235,0.4384847099625262,0.5422163023479766,0.4875997929367955,0.45233399743437896,0.5219700644221091,Star,Star,Star,1.0
28,502,Ananthapuramu,Andhra Pradesh,0.5288466525936919,0.6012993131516049,0.2696076750765531,0.4622940144846696,0.5650729828726484,0.36595084478061135,0.45474051440898206,0.37759914787748505,0.527235311207178,Emerging,Deprioritize,Emerging,0.368421052631579
1,1,Anantnag,Jammu And Kashmir,0.2766828169335758,0.5582561670373385,0.2119563578169243,0.576747207119432,0.41746949198545713,0.39435178246817815,0.40574602683273414,0.24216664127779358,0.5674263698454488,Star,Emerging,Star,1.0
12,628,Anjaw,Arunachal Pradesh,0.3961254684924327,0.2674177667333638,0.1481720762252788,0.4514382822555364,0.33177161761289825,0.2998051792404076,0.31538365411878105,0.24226995916174793,0.3474516041965003,Emerging,Emerging,Emerging,0.368421052631579
28,753,Annamayya,Andhra Pradesh,0.5490407864179254,0.4658305659162739,0.3223221862972324,0.5922931501984161,0.5074356761670997,0.45730766824782426,0.48172007001342015,0.42067567869390493,0.5252696958185011,Underserved,Star,Emerging,0.0
21,344,Anugul,Odisha,0.3713400436265892,0.4500444717483224,0.2842858023402661,0.2917108432985591,0.41069225768745576,0.2879983228194126,0.34391667800341597,0.32491029876483496,0.3623297564036905,Deprioritize,Emerging,Deprioritize,0.368421052631579
8,776,Anupgarh,Rajasthan,0.3515811140409805,0.4645563991779124,0.3097324857315773,0.8029639362299935,0.40806875660944647,0.5563482109807854,0.47647489198993376,0.32999407932293284,0.6107552986955812,Star,Star,Underserved,0.368421052631579
23,390,Anuppur,Madhya Pradesh,0.3075298045004342,0.5076911566153592,0.2605004594391138,0.2032897146883168,0.4076104805578967,0.2318950870637153,0.30744571533370946,0.28304002431384856,0.3212606268718872,Emerging,Deprioritize,Emerging,0.368421052631579
10,188,Araria,Bihar,0.2403874145681632,0.6699425174024801,0.3583252180713016,0.2584760237988599,0.45516496598532163,0.30840062093508075,0.3746640603764499,0.2934908392892927,0.4161298812534274,Emerging,Deprioritize,Emerging,1.0
33,610,Ariyalur,Tamil Nadu,0.3659234501000188,0.2854489460088471,0.4473070420422488,0.4758625532324296,0.325686198054433,0.4615847976373392,0.38772644715344073,0.40457401804630744,0.36855727406371447,Deprioritize,Underserved,Deprioritize,0.368421052631579
24,672,Arvalli,Gujarat,0.3276338666635036,0.5077648581865704,0.3480128166732235,0.4461812061551699,0.41769936242503697,0.3970970114141967,0.40726793206511797,0.33766963851537674,0.4759780844418078,Emerging,Underserved,Emerging,0.368421052631579
10,611,Arwal,Bihar,0.1655489747466982,0.6172879119577667,0.5357574837875994,0.3080380187258366,0.3914184433522324,0.42189775125671797,0.40637244130318667,0.29781555055756886,0.43605979565064135,Underserved,Underserved,Emerging,1.0
23,391,Ashoknagar,Madhya Pradesh,0.2195508071226288,0.5296787940960171,0.2830711264756941,0.2997963672217852,0.37461480060932295,0.2914337468487397,0.33041700163061904,0.2492959973422164,0.39849187979732026,Deprioritize,Deprioritize,Emerging,0.368421052631579
