lgd_state_code,lgd_district_code,district_name,state_name,census_2011_district_code,notes,census_total_population,literacy_rate,sex_ratio,latrine_access_rate,tap_water_rate,nfhs5_high_blood_sugar_pct,nfhs5_elevated_bp_pct,nfhs5_women_overweight_pct,nfhs5_women_tobacco_pct,nfhs5_men_tobacco_pct,nfhs5_women_alcohol_pct,nfhs5_men_alcohol_pct,nfhs5_child_diarrhoea_pct,nfhs5_child_ari_pct,nfhs5_improved_sanitation_pct,nfhs5_improved_water_pct,nfhs5_child_underweight_pct,nightlight_log_mean,nightlight_growth_rate,census_total_population__imputed_state_avg,census_total_population__imputed_national_avg,literacy_rate__imputed_state_avg,literacy_rate__imputed_national_avg,sex_ratio__imputed_state_avg,sex_ratio__imputed_national_avg,latrine_access_rate__imputed_state_avg,latrine_access_rate__imputed_national_avg,tap_water_rate__imputed_state_avg,tap_water_rate__imputed_national_avg,nfhs5_high_blood_sugar_pct__imputed_state_avg,nfhs5_high_blood_sugar_pct__imputed_national_avg,nfhs5_high_blood_sugar_pct__imputed_nfhs4_trend_adjusted,nfhs5_elevated_bp_pct__imputed_state_avg,nfhs5_elevated_bp_pct__imputed_national_avg,nfhs5_elevated_bp_pct__imputed_nfhs4_trend_adjusted,nfhs5_women_overweight_pct__imputed_state_avg,nfhs5_women_overweight_pct__imputed_national_avg,nfhs5_women_overweight_pct__imputed_nfhs4_trend_adjusted,nfhs5_women_tobacco_pct__imputed_state_avg,nfhs5_women_tobacco_pct__imputed_national_avg,nfhs5_women_tobacco_pct__imputed_nfhs4_trend_adjusted,nfhs5_men_tobacco_pct__imputed_state_avg,nfhs5_men_tobacco_pct__imputed_national_avg,nfhs5_men_tobacco_pct__imputed_nfhs4_trend_adjusted,nfhs5_women_alcohol_pct__imputed_state_avg,nfhs5_women_alcohol_pct__imputed_national_avg,nfhs5_women_alcohol_pct__imputed_nfhs4_trend_adjusted,nfhs5_men_alcohol_pct__imputed_state_avg,nfhs5_men_alcohol_pct__imputed_national_avg,nfhs5_men_alcohol_pct__imputed_nfhs4_trend_adjusted,nfhs5_child_diarrhoea_pct__imputed_state_avg,nfhs5_child_diarrhoea_pct__imputed_national_avg,nfhs5_child_diarrhoea_pct__imputed_nfhs4_trend_adjusted,nfhs5_child_ari_pct__imputed_state_avg,nfhs5_child_ari_pct__imputed_national_avg,nfhs5_child_ari_pct__imputed_nfhs4_trend_adjusted,nfhs5_improved_sanitation_pct__imputed_state_avg,nfhs5_improved_sanitation_pct__imputed_national_avg,nfhs5_improved_sanitation_pct__imputed_nfhs4_trend_adjusted,nfhs5_improved_water_pct__imputed_state_avg,nfhs5_improved_water_pct__imputed_national_avg,nfhs5_improved_water_pct__imputed_nfhs4_trend_adjusted,nfhs5_child_underweight_pct__imputed_state_avg,nfhs5_child_underweight_pct__imputed_national_avg,nfhs5_child_underweight_pct__imputed_nfhs4_trend_adjusted,nightlight_log_mean__imputed_state_avg,nightlight_log_mean__imputed_national_avg,nightlight_growth_rate__imputed_state_avg,nightlight_growth_rate__imputed_national_avg,confidence_score
36,501,Adilabad,Telangana,532.0,,2741239.0,54.112282803506005,1001.4931399528475,29.299999999999997,27.6,10.8,23.1,15.7,11.0,29.7,2.1,28.3,10.3,1.7,50.8,95.7,52.0,0.6326849767289444,0.035940452865071075,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
23,667,Agar-Malwa,Madhya Pradesh,436.0,"boundary_inherited=True; It was created by removing parts of the Shajapur district, including the tehsils of Agar, Badod, Susner, and Nalkheda",1512681.0,59.14082347831433,938.0425869932866,23.1,12.9,12.344594924812029,18.95930469924812,15.368255639097741,13.536767025089604,41.43548928571428,2.694717857142855,22.78818928571428,44.04138315988647,0.4562958646616536,59.250003195488716,88.56777612781956,47.24383515037594,0.6622789838625962,0.028576802935228313,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,0.368421052631579
9,118,Agra,Uttar Pradesh,146.0,,4418797.0,60.66153299189803,868.4502398144909,46.3,28.4,11.344594924812029,18.25930469924812,25.26825563909774,13.536767025089604,41.43548928571428,2.694717857142855,22.78818928571428,33.44138315988646,2.6562958646616535,67.25000319548872,76.66777612781955,33.44383515037593,1.3154972565268717,0.016781843943400102,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,0.368421052631579
24,438,Ahmedabad,Gujarat,474.0,,7214225.0,75.34780243200066,904.4688152297844,83.0,67.0,20.3,18.5,30.1,6.2,33.4,0.3,3.6,1.8,1.0,86.4,98.7,34.0,1.4996590325058126,0.05318659700663398,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
27,466,Ahmednagar,Maharashtra,522.0,,4543159.0,69.37661657890469,939.1798363087298,46.1,40.3,11.0,23.6,23.0,14.7,37.7,0.2,10.5,15.9,2.7,79.5,90.0,41.2,0.9469915725290312,0.044566818900011164,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
15,261,Aizawl,Mizoram,283.0,,400309.0,84.77270525327405,1008.8774025191951,97.8,57.70000000000001,15.2,23.4,29.7,54.7,68.7,1.0,25.8,7.1,0.8,96.1,98.3,10.911,0.4035490238546493,0.022505433090630658,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
8,86,Ajmer,Rajasthan,119.0,,2583052.0,59.10345591184382,950.8203778458331,42.3,47.4,13.844594924812029,19.45930469924812,20.568255639097742,13.536767025089604,41.43548928571428,2.694717857142855,22.78818928571428,47.34138315988647,0.6562958646616537,93.85000319548872,91.56777612781956,38.24383515037594,0.932158248179763,0.032223306487856845,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,0.368421052631579
27,467,Akola,Maharashtra,501.0,,1813906.0,77.80342531531403,945.553846582877,46.1,45.8,9.6,19.4,19.6,10.4,44.0,0.2,12.9,12.0,6.5,69.5,95.1,30.8,0.7725293030740228,0.03902522937111049,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
32,554,Alappuzha,Kerala,598.0,,2127789.0,84.77270525327405,1100.1883250324238,92.9,25.7,23.927999999999976,32.1,41.9,1.8,18.3,0.2,29.0,4.5,2.8,99.2,98.4,20.4,1.124086549485281,0.057576882193223336,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
9,119,Aligarh,Uttar Pradesh,143.0,,3673889.0,56.957817723943215,882.1191231949246,42.0,21.8,12.64459492481203,18.75930469924812,22.46825563909774,13.536767025089604,41.43548928571428,2.694717857142855,22.78818928571428,43.04138315988647,2.1562958646616535,62.85000319548872,103.16777612781955,36.84383515037594,1.1485491737379117,0.039925470095822556,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,0.368421052631579
